source_id,target_id,relationship
syn-amf-01-01,syn-pod-amf-01-01,has_pod
syn-amf-01-01,syn-pod-amf-01-02,has_pod
syn-cell-01-001-01,syn-link-01-001-01,uses_backhaul
syn-cell-01-001-02,syn-link-01-001-02,uses_backhaul
syn-cell-01-002-01,syn-link-01-002-01,uses_backhaul
syn-cell-01-002-02,syn-link-01-002-02,uses_backhaul
syn-gnb-01-001,syn-cell-01-001-01,serves
syn-gnb-01-001,syn-cell-01-001-02,serves
syn-gnb-01-002,syn-cell-01-002-01,serves
syn-gnb-01-002,syn-cell-01-002-02,serves
syn-k8s-01-edge,syn-amf-01-01,runs
syn-k8s-01-edge,syn-nssf-01-01,runs
syn-k8s-01-edge,syn-pcf-01-01,runs
syn-k8s-01-edge,syn-smf-01-01,runs
syn-k8s-01-edge,syn-upf-01-01,runs
syn-link-01-001-01,syn-router-01-agg-01,connects_to
syn-link-01-001-02,syn-router-01-agg-01,connects_to
syn-link-01-002-01,syn-router-01-agg-01,connects_to
syn-link-01-002-02,syn-router-01-agg-01,connects_to
syn-market-01-01,syn-site-01-001,contains
syn-market-01-01,syn-site-01-002,contains
syn-nssf-01-01,syn-pod-nssf-01-01,has_pod
syn-nssf-01-01,syn-pod-nssf-01-02,has_pod
syn-pcf-01-01,syn-pod-pcf-01-01,has_pod
syn-pcf-01-01,syn-pod-pcf-01-02,has_pod
syn-region-01,syn-k8s-01-edge,hosts
syn-region-01,syn-market-01-01,contains
syn-region-01,syn-router-01-agg-01,contains
syn-router-01-agg-01,syn-upf-01-01,connects_to
syn-router-01-agg-01,syn-upf-01-01,connects_to
syn-router-01-agg-01,syn-upf-01-01,connects_to
syn-router-01-agg-01,syn-upf-01-01,connects_to
syn-site-01-001,syn-gnb-01-001,hosts
syn-site-01-002,syn-gnb-01-002,hosts
syn-slice-01-embb,syn-nssf-01-01,depends_on
syn-slice-01-embb,syn-pcf-01-01,depends_on
syn-slice-01-embb,syn-segment-01-01,serves
syn-slice-01-embb,syn-smf-01-01,depends_on
syn-slice-01-embb,syn-upf-01-01,depends_on
syn-slice-01-miot,syn-nssf-01-01,depends_on
syn-slice-01-miot,syn-pcf-01-01,depends_on
syn-slice-01-miot,syn-segment-01-03,serves
syn-slice-01-miot,syn-smf-01-01,depends_on
syn-slice-01-miot,syn-upf-01-01,depends_on
syn-slice-01-urllc,syn-nssf-01-01,depends_on
syn-slice-01-urllc,syn-pcf-01-01,depends_on
syn-slice-01-urllc,syn-segment-01-02,serves
syn-slice-01-urllc,syn-smf-01-01,depends_on
syn-slice-01-urllc,syn-upf-01-01,depends_on
syn-smf-01-01,syn-amf-01-01,controlled_by
syn-smf-01-01,syn-pod-smf-01-01,has_pod
syn-smf-01-01,syn-pod-smf-01-02,has_pod
syn-upf-01-01,syn-pod-upf-01-01,has_pod
syn-upf-01-01,syn-pod-upf-01-02,has_pod
syn-upf-01-01,syn-smf-01-01,served_by
